time	UnixTime	FPS	HeadPos	HeadRot	Valid	GazeOrigin	GazeDir	Conf	FixPoint	LBlink	RBlink	LPupil	RPupil	LOrigin	LDir	ROrigin	RDir	HitPos	HitName	
1.901371	1763568709.827	72.440132	-257.068918,172.801311,167.880661	0.019645,0.073228,-0.188091,0.979221	T	-257.096449,172.802855,167.884918	0.933986,-0.261914,-0.243045	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.057138,107.450122,107.240015	StaticMeshActor_1	
1.915301	1763568709.841	73.75721	-257.092937,172.790934,167.983688	0.02245,0.069997,-0.19122,0.978791	T	-257.092937,172.790935,167.983688	0.934116,-0.267572,-0.236291	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.842856,106.261792,109.231842	StaticMeshActor_1	
1.929541	1763568709.856	72.053886	-257.190252,172.750794,167.980209	0.022331,0.070014,-0.191813,0.978676	T	-257.190252,172.750794,167.980209	0.933768,-0.268753,-0.236323	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.089492,105.946159,109.236331	StaticMeshActor_1	
1.943291	1763568709.87	69.979004	-257.235406,172.730615,168.026871	0.022288,0.069006,-0.192481,0.978618	T	-257.235406,172.730615,168.026871	0.933851,-0.270162,-0.234381	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-25.198975,105.600302,109.787077	StaticMeshActor_1	
1.957161	1763568709.884	72.622177	-257.258706,172.726885,168.070786	0.02299,0.066261,-0.192335,0.97882	T	-257.258706,172.726884,168.070786	0.935206,-0.269952,-0.229163	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.997757,105.681194,111.15496	StaticMeshActor_1	
1.971324	1763568709.898	71.795761	-257.328506,172.691106,168.143494	0.021327,0.063915,-0.192136,0.979053	T	-257.328506,172.691106,168.143494	0.936271,-0.270337,-0.224307	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.891474,105.575327,112.454723	StaticMeshActor_1	
1.985113	1763568709.912	70.645912	-257.316416,172.701464,168.231339	0.019243,0.060323,-0.192376,0.979276	T	-257.316416,172.701464,168.231339	0.937577,-0.271805,-0.216961	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.789362,105.289107,114.420452	StaticMeshActor_1	
1.999324	1763568709.926	73.41011	-257.346126,172.72534,168.276657	0.019231,0.057389,-0.19248,0.979433	T	-257.352589,172.729881,168.275391	0.938865,-0.27186,-0.211245	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.593531,105.329201,115.901669	StaticMeshActor_1	
2.013348	1763568709.939	69.871933	-257.381449,172.75322,168.296082	0.019443,0.055503,-0.19183,0.979665	T	-257.381449,172.75322,168.296082	0.939885,-0.271157,-0.20758	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-24.387597,105.532061,116.835089	StaticMeshActor_1	
2.02711	1763568709.953	71.592201	-257.409588,172.771509,168.327576	0.019505,0.054897,-0.191368,0.979788	T	-257.409588,172.771509,168.327576	0.8299,-0.497613,-0.252286	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-48.478308,47.494661,104.81096	StaticMeshActor_1	
2.041024	1763568709.968	73.122414	-257.428935,172.781629,168.357819	0.018767,0.054417,-0.19064,0.979971	T	-257.428934,172.781631,168.357819	0.830853,-0.496709,-0.250926	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-48.269704,47.739566,105.187293	StaticMeshActor_1	
2.055133	1763568709.982	70.636429	-257.440604,172.81455,168.377396	0.018362,0.053751,-0.190271,0.980087	T	-257.440604,172.814551,168.377396	0.831895,-0.493993,-0.252827	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-48.109975,48.510002,104.75606	StaticMeshActor_1	
2.069194	1763568709.996	70.835579	-257.458427,172.843722,168.393555	0.017988,0.053259,-0.18977,0.980218	T	-257.458427,172.84372,168.393555	0.832631,-0.493336,-0.251685	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-47.942877,48.704628,105.059463	StaticMeshActor_1	
2.082993	1763568710.009	71.263641	-257.478614,172.870288,168.403183	0.018018,0.053156,-0.189127,0.980347	T	-257.478615,172.870286,168.403183	0.833336,-0.49223,-0.251517	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-47.805073,49.021022,105.117248	StaticMeshActor_1	
2.096913	1763568710.023	72.365181	-257.476704,172.879779,168.405396	0.017657,0.053175,-0.188603,0.980454	T	-257.480232,172.880471,168.399429	0.830976,-0.493998,-0.255823	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-48.327522,48.543006,104.007669	StaticMeshActor_1	
2.110477	1763568710.036	71.96109	-257.499018,172.882596,168.40097	0.017395,0.053847,-0.188232,0.980493	T	-257.501909,172.883711,168.40332	0.83089,-0.493537,-0.256986	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-48.37101,48.66236,103.718902	StaticMeshActor_1	
2.124419	1763568710.051	73.900543	-257.528562,172.899007,168.431671	0.016357,0.054658,-0.188643,0.980387	T	-257.528562,172.899007,168.431671	0.828679,-0.495388,-0.260543	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-48.844043,48.145971,102.817455	StaticMeshActor_1	
2.138533	1763568710.066	71.545601	-257.546104,172.897913,168.424927	0.01625,0.054731,-0.188756,0.980363	T	-257.546104,172.897913,168.424927	0.828521,-0.495618,-0.260605	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-48.880155,48.074294,102.788425	StaticMeshActor_1	
2.152397	1763568710.079	71.520515	-257.560553,172.913572,168.421951	0.016967,0.054758,-0.189202,0.980263	T	-257.560553,172.913571,168.421951	0.828081,-0.49608,-0.261124	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	-48.970739,47.952773,102.643759	StaticMeshActor_1	
