time	UnixTime	FPS	HeadPos	HeadRot	Valid	GazeOrigin	GazeDir	Conf	FixPoint	LBlink	RBlink	LPupil	RPupil	LOrigin	LDir	ROrigin	RDir	HitPos	HitName															
1.784534	1765269698.088	82.176704	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
1.793534	1765269698.097	104.656136	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
1.802527	1765269698.106	113.355545	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
1.813202	1765269698.117	91.250046	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
1.82214	1765269698.126	113.494484	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
1.830769	1765269698.134	112.480904	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
1.840558	1765269698.143	111.485176	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
1.85054	1765269698.154	93.443092	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
1.859974	1765269698.163	104.216629	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
1.869566	1765269698.173	107.692482	-236.272671,157.620151,126.746216	0.01719,-0.031448,-0.012237,0.999283	T	-236.272671,157.620151,126.746216	0.936507,0.023233,-0.349879	1.0	0.0,0.0,0.0	F	F	0.0	0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0,0.0,0.0	78.183041,165.415872,9.264419	StaticMeshActor_1	
